Ref,Val,Package,PosX,PosY,Rot,Side
"JP3","Jumper_2_Open","PinHeader_1x02_P2.00mm_Horizontal",243.090000,-86.640000,0.000000,bottom
"C1","680u","CP_Radial_D35.0mm_P10.00mm_SnapIn",91.000000,-76.000000,-90.000000,top
"C2","0.1","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",64.440000,-159.090000,-90.000000,top
"C3","680u","CP_Radial_D35.0mm_P10.00mm_SnapIn",176.300000,-70.140000,180.000000,top
"C4","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",192.742500,-65.082500,90.000000,top
"C5","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",206.222500,-63.600000,0.000000,top
"C6","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",215.102500,-63.680000,180.000000,top
"C7","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",215.102500,-60.770000,180.000000,top
"C8","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",275.960000,-65.950000,90.000000,top
"C9","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",284.610000,-71.440000,0.000000,top
"C10","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",291.577500,-76.090000,180.000000,top
"C11","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",291.577500,-71.345000,180.000000,top
"C12","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",346.200000,-132.600000,-90.000000,top
"C13","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",351.200000,-131.400000,-90.000000,top
"C14","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",355.562500,-123.400000,180.000000,top
"C15","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",355.562500,-120.050000,180.000000,top
"C16","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",326.800000,-155.000000,-90.000000,top
"C17","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",329.362500,-147.200000,180.000000,top
"C18","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",335.600000,-144.400000,180.000000,top
"C19","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",335.600000,-140.600000,180.000000,top
"C20","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",288.520000,-131.490000,180.000000,top
"C21","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",293.320000,-120.850000,180.000000,top
"C22","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",282.070000,-116.510000,-90.000000,top
"C23","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",286.210000,-116.470000,-90.000000,top
"C24","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",333.880000,-104.730000,90.000000,top
"C25","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",345.120000,-110.860000,-90.000000,top
"C26","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",349.970000,-111.270000,180.000000,top
"C27","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",349.940000,-115.240000,180.000000,top
"C28","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",260.950000,-198.575000,180.000000,top
"C29","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",266.987500,-198.775000,0.000000,top
"C30","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",261.750000,-203.575000,90.000000,top
"C31","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",273.350000,-203.175000,90.000000,top
"C32","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",305.200000,-158.400000,-90.000000,top
"C33","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",305.200000,-147.400000,90.000000,top
"C34","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",310.600000,-159.200000,180.000000,top
"C35","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",310.600000,-145.800000,180.000000,top
"C36","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",238.890000,-81.810000,0.000000,top
"C37","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",233.800000,-81.100000,180.000000,top
"C38","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",228.480000,-75.482500,-90.000000,top
"C39","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",232.100000,-75.482500,-90.000000,top
"C40","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",297.910000,-101.840000,-90.000000,top
"C41","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",297.390000,-94.630000,-90.000000,top
"C42","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",289.050000,-87.670000,-90.000000,top
"C43","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",285.000000,-87.602500,-90.000000,top
"C44","0.1u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",101.000000,-138.000000,0.000000,top
"C45","33p","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",92.000000,-148.000000,-90.000000,top
"C46","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",87.000000,-151.000000,0.000000,top
"C47","33u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",87.000000,-154.000000,0.000000,top
"C48","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",197.600000,-57.325000,180.000000,top
"C49","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",280.325000,-60.975000,180.000000,top
"C50","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",336.675000,-132.425000,180.000000,top
"C51","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",317.200000,-154.000000,180.000000,top
"C52","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",282.690000,-127.670000,180.000000,top
"C53","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",339.500000,-99.250000,180.000000,top
"C54","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",252.500000,-188.875000,90.000000,top
"C55","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",293.525000,-159.875000,180.000000,top
"C56","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",244.572500,-89.435000,0.000000,top
"C57","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",284.775000,-99.775000,180.000000,top
"C58","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",105.830000,-145.360000,90.000000,top
"C59","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",55.160000,-44.490000,0.000000,top
"C60","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",197.675000,-60.750000,180.000000,top
"C61","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",285.675000,-59.550000,0.000000,top
"C62","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",336.575000,-129.000000,180.000000,top
"C63","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",317.125000,-157.875000,180.000000,top
"C64","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",282.660000,-132.420000,180.000000,top
"C65","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",342.000000,-77.450000,0.000000,top
"C66","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",256.500000,-189.050000,90.000000,top
"C67","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",293.525000,-155.625000,180.000000,top
"C68","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",244.672500,-92.860000,0.000000,top
"C69","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",284.625000,-95.325000,180.000000,top
"C70","4.7u X7R","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",109.690000,-145.220000,90.000000,top
"C71","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",266.446000,-52.324000,0.000000,top
"C72","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",362.204000,-60.452000,-90.000000,top
"C73","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",349.465500,-170.688000,0.000000,top
"C74","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",304.800000,-200.660000,-90.000000,top
"D1","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",138.480000,-110.740000,180.000000,top
"D2","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",182.930000,-151.990000,180.000000,top
"J1","5v block","TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",114.840000,-216.935000,0.000000,top
"J2","Image shown is a representation only. Exact specifications should be obtained from the product data sheet.","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",94.900000,-44.575000,180.000000,top
"J3","gnd block","TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",55.075000,-75.370000,-90.000000,top
"J4","0ZCF0200AF2C","Molex_Mini-Fit_Sr_42819-22XX_1x02_P10.00mm_Vertical_ThermalVias",123.575000,-45.142500,-90.000000,top
"J5","Screw_Terminal_01x10","TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal",56.000000,-153.640000,90.000000,top
"J6","Screw_Terminal_01x10","TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal",57.615000,-216.935000,0.000000,top
"J7","Screw_Terminal_01x10","TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal",200.680000,-216.325000,180.000000,top
"J8","Screw_Terminal_01x08","TerminalBlock_Phoenix_PT-1,5-8-5.0-H_1x08_P5.00mm_Horizontal",266.702500,-45.060000,180.000000,top
"J9","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",312.500000,-206.120000,0.000000,top
"J10","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",334.950000,-206.305000,0.000000,top
"J11","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",341.825000,-55.230000,180.000000,top
"J12","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",323.635000,-55.230000,180.000000,top
"JP1","Jumper_2_Open","JUMPER_5102TR",113.550000,-61.630000,-90.000000,top
"JP2","Jumper_2_Open","JUMPER_5102TR",171.740000,-105.400000,0.000000,top
"JP4","Jumper_2_Open","PinHeader_1x02_P2.00mm_Horizontal",286.070000,-103.120000,-90.000000,top
"K1","J107F1CS203VDC.80","Relay_SPDT_RAYEX-L90S",133.500000,-100.940000,90.000000,top
"K2","J107F1CS203VDC.80","Relay_SPDT_RAYEX-L90S",178.100000,-142.340000,90.000000,top
"L1","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",210.240000,-47.890000,0.000000,top
"L2","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",284.325000,-48.150000,0.000000,top
"L3","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",349.600000,-144.800000,0.000000,top
"L4","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",329.400000,-166.600000,0.000000,top
"L5","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",305.350000,-121.720000,90.000000,top
"L6","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",345.000000,-88.750000,0.000000,top
"L7","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",248.670000,-204.400000,-90.000000,top
"L8","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",304.400000,-172.800000,0.000000,top
"L9","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",256.400000,-81.800000,90.000000,top
"L10","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",308.780000,-93.600000,90.000000,top
"L11","5.6u","L_Bourns_SRP1770TA_16.9x16.9mm",94.000000,-126.000000,180.000000,top
"Q1","2N3904","TO-92_HandSolder",161.660000,-143.400000,0.000000,top
"R1","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",158.200000,-142.600000,90.000000,top
"R2","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",161.200000,-138.000000,0.000000,top
"R3","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",247.102500,-63.420000,-90.000000,top
"R4","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",306.510000,-62.670000,180.000000,top
"R5","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",332.200000,-194.400000,0.000000,top
"R6","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",357.400000,-164.600000,90.000000,top
"R7","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",226.972500,-54.210000,180.000000,top
"R8","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",320.890000,-63.530000,180.000000,top
"R9","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",256.442500,-59.190000,-90.000000,top
"R10","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",300.400000,-206.800000,90.000000,top
"R11","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",332.520000,-61.680000,180.000000,top
"R12","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",312.000000,-188.000000,90.000000,top
"R13","0.1","R_2816_7142Metric_Pad3.20x4.45mm_HandSolder",355.830000,-52.860000,180.000000,top
"R14","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",206.362500,-60.620000,0.000000,top
"R15","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",214.912500,-69.590000,180.000000,top
"R16","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",214.992500,-66.610000,180.000000,top
"R17","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",278.100000,-71.140000,0.000000,top
"R18","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",291.590000,-61.930000,180.000000,top
"R19","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",291.590000,-66.625000,180.000000,top
"R20","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",347.400000,-127.200000,0.000000,top
"R21","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",355.600000,-127.400000,180.000000,top
"R22","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",355.650000,-131.200000,180.000000,top
"R23","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",327.750000,-151.200000,0.000000,top
"R24","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",335.600000,-148.400000,180.000000,top
"R25","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",335.600000,-152.200000,180.000000,top
"R26","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",294.810000,-127.630000,90.000000,top
"R27","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",289.950000,-116.330000,-90.000000,top
"R28","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",293.700000,-116.190000,-90.000000,top
"R29","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",340.090000,-110.860000,0.000000,top
"R30","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",349.850000,-102.450000,180.000000,top
"R31","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",349.910000,-106.770000,180.000000,top
"R32","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",266.350000,-193.575000,90.000000,top
"R33","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",269.350000,-203.575000,90.000000,top
"R34","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",265.550000,-203.575000,90.000000,top
"R35","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",302.600000,-154.200000,0.000000,top
"R36","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",310.600000,-154.000000,180.000000,top
"R37","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",310.600000,-149.800000,180.000000,top
"R38","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",233.580000,-86.550000,90.000000,top
"R39","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",239.580000,-75.470000,-90.000000,top
"R40","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",235.230000,-75.470000,-90.000000,top
"R41","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",293.280000,-98.170000,0.000000,top
"R42","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",293.360000,-87.770000,-90.000000,top
"R43","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",297.340000,-87.610000,-90.000000,top
"R44","18.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",100.290000,-152.440000,-90.000000,top
"R45","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",87.000000,-142.000000,0.000000,top
"R46","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",87.000000,-146.000000,0.000000,top
"R47","2.2k","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",303.000000,-196.050000,180.000000,top
"R48","2.2k","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",272.675000,-214.075000,90.000000,top
"R49","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",210.400000,-68.575000,-90.000000,top
"R50","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",288.300000,-80.550000,0.000000,top
"R51","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",350.000000,-119.450000,0.000000,top
"R52","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",332.225000,-137.050000,0.000000,top
"R53","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",277.380000,-120.160000,90.000000,top
"R54","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",346.420000,-99.140000,0.000000,top
"R55","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",277.150000,-196.575000,-90.000000,top
"R56","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",301.225000,-143.800000,0.000000,top
