Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",188.722000,-302.006000,0.000000,top
"C2","0.1","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",160.000000,-385.562500,-90.000000,top
"F1","1210L900SLPR","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",176.276000,-269.240000,0.000000,top
"F2","1210L900SLPR","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",177.292000,-262.128000,0.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",110.155000,-244.005000,0.000000,top
"J2","76825-0002","Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal",93.800000,-254.175000,0.000000,top
"J3","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",370.896000,-403.584000,0.000000,top
"J4","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",320.096000,-403.584000,0.000000,top
"J5","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",389.000000,-254.098000,180.000000,top
"J6","USB_A_Stacked","USB_A_Wuerth_61400826021_Horizontal_Stacked",367.400000,-254.680000,180.000000,top
"J7","Screw_Terminal_01x08","TerminalBlock_Phoenix_PT-1,5-8-5.0-H_1x08_P5.00mm_Horizontal",265.710000,-409.456000,0.000000,top
"J8","Screw_Terminal_01x10","TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal",86.705000,-373.660000,90.000000,top
"J9","5v block","TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",200.439000,-410.261000,0.000000,top
"J10","Screw_Terminal_01x10","TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal",130.048000,-409.651000,180.000000,top
"J11","Screw_Terminal_01x10","TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal",188.103500,-409.651000,180.000000,top
